Movie,Author,linkified
Peggy Sue Got Married ,"Jerry Leichtling,Arlene Sarner",Peggy-Sue-Got-Married.html
Pineapple Express ,"Judd Apatow,Seth Rogen,Evan Goldberg",Pineapple-Express.html
Pirates of the Caribbean ,"Ted Elliot,Terry Rossio",Pirates-of-the-Caribbean.html
Pirates of the Caribbean: Dead Man's Chest ,"Ted Elliott,Terry Rossio",Pirates-of-the-Caribbean:-Dead-Man's-Chest.html
Platinum Blonde ,"Harry E. Chandlee,Douglas W. Churchill,Robert Riskin",Platinum-Blonde.html
Pleasantville ,Gary Ross,Pleasantville.html
Pretty Woman ,J.F. Lawton,Pretty-Woman.html
Pretty Woman  ,Jonathan Frederick Lawton,Pretty-Woman.html
"Princess Bride, The ",William Goldman,"Princess-Bride,-The.html"
"Private Life of Sherlock Holmes, The ","Billy Wilder,I.A.L Diamond","Private-Life-of-Sherlock-Holmes,-The.html"
"Producer, The ",Mel Brooks,"Producer,-The.html"
"Proposal, The ",Pete Chiarelli,"Proposal,-The.html"
Punch-Drunk Love ,Paul Thomas Anderson,Punch-Drunk-Love.html
Raising Arizona ,"Joel Coen,Ethan Coen",Raising-Arizona.html
Real Genius ,"Neal Israel,Pat Proft,Peter Torokvel",Real-Genius.html
"Replacements, The ",Vince McKewin,"Replacements,-The.html"
Repo Man ,Alex Cox,Repo-Man.html
RocknRolla ,Guy Ritchie,RocknRolla.html
"Rocky Horror Picture Show, The ","Richard O'Brien, Jim Sharman","Rocky-Horror-Picture-Show,-The.html"
Runaway Bride ,"Josann McGibbon,Sara Parriott",Runaway-Bride.html
Rush Hour ,"Ross LaManna,Jim Kouf",Rush-Hour.html
Rush Hour 2 ,Jeff Nathanson,Rush-Hour-2.html
Rushmore ,"Wes Anderson,Owen Wilson",Rushmore.html
"Sandlot Kids, The ","David Mickey Evans,Robert Gunter","Sandlot-Kids,-The.html"
Saving Mr. Banks ,"Kelly Marcel,Sue Smith",Saving-Mr.-Banks.html
Scary Movie 2 ,"Shawn Wayans,Marlon Wayans",Scary-Movie-2.html
Scott Pilgrim vs the World ,"Edgar Wright,Michael Bacall",Scott-Pilgrim-vs-the-World.html
Semi-Pro ,Scot Armstrong,Semi-Pro.html
Sense and Sensibility ,"Jane Austen,Emma Thompson",Sense-and-Sensibility.html
Serial Mom ,John Waters,Serial-Mom.html
Sex and the City ,Michael Patrick King,Sex-and-the-City.html
Sexual Life ,Ken Kwapis,Sexual-Life.html
Shadow of the Vampire ,Steven Katz,Shadow-of-the-Vampire.html
Shakespeare in Love ,"Marc Norman,Tom Stoppard",Shakespeare-in-Love.html
Shallow Grave ,John Hodge,Shallow-Grave.html
She's Out of My League ,"Sean Anders,John Morris",She's-Out-of-My-League.html
Shrek ,"William Steig,Ted Elliott",Shrek.html
Shrek the Third ,"Peter Seaman,Jeffrey Price,Chris Miller,Aron Warner",Shrek-the-Third.html
Sideways ,"Rex Pickett,Alexander Payne,Jim Taylor",Sideways.html
Silver Linings Playbook ,"David O. Russell,Matthew Quick",Silver-Linings-Playbook.html
Simone ,Andrew Niccol,Simone.html
Sister Act ,Paul Rudnick,Sister-Act.html
Six Degrees of Separation ,John Guare,Six-Degrees-of-Separation.html
Sleepless in Seattle ,"Jeff Arch,Nora Ephron,David S. Ward",Sleepless-in-Seattle.html
Slither ,James Gunn,Slither.html
Smashed ,"Susan Burke,James Ponsoldt",Smashed.html
Smokin' Aces ,Joe Carnahan,Smokin'-Aces.html
Snatch ,Guy Ritchie,Snatch.html
Sneakers ,"Phil Alden Robinson,Lawrence Lasker",Sneakers.html
So I Married an Axe Murderer ,Robbie Fox,So-I-Married-an-Axe-Murderer.html
Something's Gotta Give ,Nancy Meyers,Something's-Gotta-Give.html
South Park ,"Trey Parker,Matt Stone,Pam Brady",South-Park.html
Spanglish ,James L. Brooks,Spanglish.html
State and Main ,David Mamet,State-and-Main.html
Stepmom ,"Ronald Bass,Gigi Levangie,Elizabeth Chandler,Jessie Nelson,Steven Rogers",Stepmom.html
"Sting, The ",David Ward,"Sting,-The.html"
Storytelling ,Todd Solondz,Storytelling.html
"Stuntman, The ","Lawrence B. Marcus,Richard Rush,Paul Brodeur","Stuntman,-The.html"
Sugar and Spice ,Mandy Nelson,Sugar-and-Spice.html
Sunshine Cleaning ,Megan Holley,Sunshine-Cleaning.html
Superbad ,"Seth Rogen,Evan Goldberg",Superbad.html
"Surfer King, The ",Bernard Murray Jr,"Surfer-King,-The.html"
Swingers ,Jon Favreau,Swingers.html
"Synecdoche, New York ",Charlie Kaufman,"Synecdoche,-New-York.html"
Tamara Drewe ,Moira Buffini,Tamara-Drewe.html
Ted ,"Seth Macfarlane,Alec Sulkin,Wellesley Wild",Ted.html
There's Something About Mary ,"Peter Farrelly,Bobby Farrelly,Ed Decter,John J. Strauss",There's-Something-About-Mary.html
"Things My Father Never Taught Me, The ",Burleigh Smith,"Things-My-Father-Never-Taught-Me,-The.html"
This is 40 ,Judd Apatow,This-is-40.html
Three Men and a Baby ,"Jim Cruickshank,James Orr,Colline Serreau",Three-Men-and-a-Baby.html
"Three Musketeers, The ",David Loughery,"Three-Musketeers,-The.html"
Thunderbirds ,"Peter Hewitt,William Osborne,Michael McCullers",Thunderbirds.html
Tin Cup ,"John Norville,Ron Shelton",Tin-Cup.html
Tin Men ,Barry Levinson,Tin-Men.html
TMNT ,Kevin Munroe,TMNT.html
Toy Story ,"Joss Whedon,Andrew Stanton,Joel Cohen,Alec Sokolow",Toy-Story.html
Tremors ,"S. S. Wilson,Brent Maddock",Tremors.html
Tropic Thunder ,"Ethan Cohen,Ben Stiller,Justin Theroux",Tropic-Thunder.html
True Lies ,"Claude Zidi,Simon Michaël,Didier Kaminka,James Cameron",True-Lies.html
"Truman Show, The ",Andrew Niccol,"Truman-Show,-The.html"
Twins ,"William Osborne,William Davies,Timothy Harris,Hershel Weingrod,William Goldman",Twins.html
Two For The Money ,Dan Gilroy,Two-For-The-Money.html
"Ugly Truth, The ","Nicole Eastman,Tracey Jackson,Peter Hume,David Diamond,David Weissman,Roger Kumble","Ugly-Truth,-The.html"
Up ,"Pete Docter,Bob Peterson,Thomas McCarthy",Up.html
Valentine's Day ,Katherine Fugate,Valentine's-Day.html
Very Bad Things ,Peter Berg,Very-Bad-Things.html
Wag the Dog ,David Mamet,Wag-the-Dog.html
Wall-E ,"Andrew Stanton,Pete Docter",Wall-E.html
What About Bob? ,"Tom Schulman,Alvin Sargent,Laura Ziskin",What-About-Bob?.html
When Harry Met Sally ,Nora Ephron,When-Harry-Met-Sally.html
White Christmas ,"Norman Krasna,Melvin Frank,Norman Panama",White-Christmas.html
Who Framed Roger Rabbit? ,"Jeffrey Price,Peter S. Seaman",Who-Framed-Roger-Rabbit?.html
Who's Your Daddy ,"Maria Veltre Druse,Jack Sekowski",Who's-Your-Daddy.html
Wild Hogs ,Brad Copeland,Wild-Hogs.html
Wild Wild West ,"S. S. Wilson,Brent Maddock,Jeffrey Price,Peter S. Seaman,Jim Thomas,John Thomas",Wild-Wild-West.html
Willow ,"George Lucas,Bob Dolman",Willow.html
Win Win ,Tom McCarthy,Win-Win.html
Withnail and I ,Bruce Robinson,Withnail-and-I.html
"Wolf of Wall Street, The ","Terence Winter,Jordan Belfort","Wolf-of-Wall-Street,-The.html"
Wonder Boys ,Steven Kloves,Wonder-Boys.html
Year One ,"Harold Ramis,Gene Stupnitsky,Lee Eisenberg",Year-One.html
Yes Man ,"Nicholas Stoller,Danny Wallace",Yes-Man.html
You've Got Mail ,"Nora Ephron,Delia Ephron",You've-Got-Mail.html
Youth in Revolt ,Gustin Nash,Youth-in-Revolt.html
Zerophilia ,Martin Curland,Zerophilia.html
